"Year","avg_male_percent","size_2016","avg_white_percent","avg_white_sup_percent","avg_male_sup_percent"
2001,0.6418959159785819,"large",0.81934444,0.85283704,0.6423443889970616
2001,0.6471774279431333,"medium",0.88280690,0.90065517,0.6859081988315895
2001,0.5935066001556053,"micro",0.94724359,0.95876154,0.6561398768726568
2001,0.6234129708196312,"small",0.92702647,0.94062745,0.6795889414875326
2016,0.6144808484118549,"large",0.78937429,0.81497714,0.6210388854933452
2016,0.5922329750432175,"medium",0.79981667,0.85196667,0.6329572091278749
2016,0.621746103393502,"micro",0.90743834,0.93367860,0.6634407583337542
2016,0.6430620098471063,"small",0.89363759,0.91444255,0.6968960108756563
1995,0,"large",0.84198889,0.88012222,0
1995,0,"medium",0.87119333,0.89596000,0
1995,0,"micro",0.94851484,0.96843750,0
1995,0,"small",0.92949490,0.95255408,0
